Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,RiskCategory,LoanDecision
56,48353.0,31258,675.0,20,Female,High School,Houston,Unemployed,0,Low Risk,Approve
69,57462.0,23262,586.0,6,Male,High School,San Francisco,Self-Employed,0,High Risk,Reject
46,44219.0,26530,781.0,26,Male,PhD,Houston,Self-Employed,1,Low Risk,Approve
60,37034.0,27871,500.0,19,Female,High School,Chicago,Unemployed,0,High Risk,Reject
25,47886.0,18106,835.0,13,Male,Masters,New York,Salaried,1,Low Risk,Approve
38,54748.0,25374,760.0,9,Female,High School,New York,Self-Employed,1,Low Risk,Approve
36,25918.0,25041,777.0,29,Female,Bachelors,San Francisco,Unemployed,0,Low Risk,Reject
40,43415.0,2065,382.0,30,Female,High School,San Francisco,Self-Employed,0,High Risk,Reject
28,75162.0,17793,757.0,9,Female,PhD,New York,Unemployed,0,Low Risk,Approve
28,42613.0,6356,597.0,18,Female,High School,San Francisco,Self-Employed,0,High Risk,Reject
41,50237.0,25064,663.0,18,Female,PhD,Houston,Unemployed,0,Low Risk,Approve
41,69356.0,31475,815.0,19,Female,Bachelors,San Francisco,Unemployed,0,Low Risk,Approve
20,62113.0,12827,407.0,3,Male,Bachelors,New York,Unemployed,1,High Risk,Reject
39,35401.0,-4250,615.0,32,Female,PhD,Chicago,Unemployed,0,Low Risk,Approve
19,55388.0,24109,413.0,0,Female,PhD,Houston,Salaried,0,High Risk,Reject
61,39521.0,13080,560.0,2,Female,Masters,Chicago,Unemployed,0,High Risk,Reject
47,36942.0,15861,523.0,11,Male,Masters,Houston,Self-Employed,1,High Risk,Reject
55,75575.0,8608,561.0,28,Female,High School,Chicago,Unemployed,0,High Risk,Reject
19,45488.0,16050,550.0,30,Male,Masters,New York,Unemployed,0,High Risk,Reject
38,74225.0,8758,825.0,35,Male,Bachelors,Houston,Self-Employed,1,Low Risk,Approve
50,64956.0,21299,425.0,1,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
29,56118.0,10170,505.0,21,Male,Masters,Chicago,Salaried,0,High Risk,Reject
39,56788.0,20241,439.0,21,Male,Masters,Houston,Self-Employed,0,High Risk,Reject
61,28994.0,29296,361.0,30,Female,Bachelors,San Francisco,Salaried,0,High Risk,Reject
42,53102.0,26259,582.0,13,Female,Bachelors,New York,Salaried,0,High Risk,Reject
66,71255.0,19346,353.0,28,Female,Bachelors,Houston,Unemployed,0,High Risk,Reject
44,60220.0,12090,645.0,34,Male,Bachelors,Houston,Unemployed,0,Low Risk,Approve
59,52315.0,21273,823.0,8,Male,Bachelors,Houston,Unemployed,1,Low Risk,Approve
45,75679.0,14434,435.0,31,Male,Masters,Chicago,Salaried,0,High Risk,Reject
33,47224.0,21609,629.0,26,Female,Masters,New York,Unemployed,0,Low Risk,Approve
32,40707.0,6278,443.0,9,Female,High School,New York,Salaried,0,High Risk,Reject
64,52307.0,26458,735.0,24,Male,High School,Houston,Unemployed,0,Low Risk,Approve
68,61497.0,20266,581.0,32,Female,PhD,Houston,Salaried,0,High Risk,Reject
61,24233.0,37668,435.0,10,Female,High School,Chicago,Self-Employed,0,High Risk,Reject
69,54273.0,30448,788.0,36,Female,Masters,New York,Self-Employed,1,Low Risk,Approve
20,62155.0,24529,700.0,8,Female,High School,San Francisco,Unemployed,0,Low Risk,Approve
54,45955.0,19008,748.0,6,Female,High School,Houston,Salaried,1,Low Risk,Approve
68,66604.0,14163,569.0,6,Male,Masters,San Francisco,Self-Employed,0,High Risk,Reject
24,59618.0,27539,316.0,33,Male,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
38,82121.0,18164,568.0,18,Female,Masters,New York,Unemployed,0,High Risk,Reject
26,38741.0,29347,781.0,19,Female,Masters,San Francisco,Unemployed,0,Low Risk,Approve
56,62461.0,23207,518.0,24,Male,PhD,Houston,Salaried,0,High Risk,Reject
35,34740.0,23264,618.0,4,Male,PhD,Houston,Self-Employed,0,Low Risk,Approve
42,19467.0,12643,844.0,26,Male,Bachelors,New York,Salaried,0,Low Risk,Reject
31,58075.0,11823,584.0,24,Male,High School,New York,Unemployed,0,High Risk,Reject
67,52764.0,11546,336.0,36,Female,PhD,San Francisco,Salaried,0,High Risk,Reject
26,42814.0,28380,402.0,14,Male,Masters,Houston,Salaried,0,High Risk,Reject
43,23397.0,12434,729.0,3,Male,PhD,Houston,Self-Employed,0,Low Risk,Reject
19,39644.0,13431,538.0,13,Male,Masters,Chicago,Salaried,0,High Risk,Reject
37,50061.0,24300,424.0,16,Male,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
45,61898.0,17984,487.0,20,Female,PhD,Houston,Self-Employed,0,High Risk,Reject
64,49752.0,16962,555.0,15,Female,Masters,New York,Salaried,0,High Risk,Reject
24,53781.0,16268,829.0,25,Male,High School,Chicago,Salaried,1,Low Risk,Approve
61,44358.0,1395,691.0,8,Male,Bachelors,New York,Self-Employed,1,Low Risk,Approve
25,76238.0,12265,767.0,1,Female,Masters,Chicago,Salaried,1,Low Risk,Approve
64,34726.0,29453,552.0,14,Male,High School,New York,Self-Employed,0,High Risk,Reject
52,39511.0,15685,475.0,34,Male,High School,San Francisco,Salaried,0,High Risk,Reject
31,42615.0,4796,765.0,23,Female,Masters,Houston,Self-Employed,1,Low Risk,Approve
34,58141.0,11936,588.0,37,Female,PhD,New York,Self-Employed,0,High Risk,Reject
53,34417.0,22879,349.0,13,Male,High School,San Francisco,Unemployed,0,High Risk,Reject
57,52474.0,17646,799.0,36,Female,High School,San Francisco,Self-Employed,1,Low Risk,Approve
21,39585.0,14486,522.0,5,Female,PhD,Chicago,Self-Employed,0,High Risk,Reject
19,54950.0,8782,561.0,17,Female,Bachelors,San Francisco,Salaried,0,High Risk,Reject
59,33244.0,26703,675.0,17,Male,Bachelors,Houston,Salaried,0,Low Risk,Approve
21,51494.0,30311,360.0,1,Male,Masters,Chicago,Unemployed,0,High Risk,Reject
46,25104.0,11115,655.0,31,Female,High School,Chicago,Salaried,0,Low Risk,Reject
35,17828.0,30924,323.0,16,Male,PhD,San Francisco,Unemployed,0,High Risk,Reject
43,57992.0,19547,592.0,0,Female,Masters,New York,Salaried,0,High Risk,Reject
61,65735.0,20213,655.0,8,Male,Masters,San Francisco,Unemployed,0,Low Risk,Approve
51,42998.0,27149,328.0,12,Female,Bachelors,Chicago,Salaried,0,High Risk,Reject
27,39979.0,15672,656.0,35,Male,Masters,Houston,Unemployed,0,Low Risk,Approve
53,65083.0,2690,664.0,36,Female,High School,San Francisco,Self-Employed,1,Low Risk,Approve
31,32817.0,25639,708.0,29,Female,Masters,New York,Unemployed,0,Low Risk,Approve
48,29549.0,22789,565.0,30,Female,Masters,San Francisco,Unemployed,0,High Risk,Reject
65,60615.0,17118,590.0,22,Female,Bachelors,San Francisco,Self-Employed,1,High Risk,Reject
32,50136.0,24980,452.0,27,Male,Bachelors,San Francisco,Salaried,0,High Risk,Reject
25,65973.0,26616,518.0,9,Female,Masters,Houston,Self-Employed,0,High Risk,Reject
31,17896.0,7904,472.0,24,Male,Bachelors,New York,Self-Employed,0,High Risk,Reject
57,50215.0,1779,815.0,25,Female,PhD,Chicago,Unemployed,0,Low Risk,Approve
38,56265.0,19010,661.0,25,Female,PhD,Chicago,Self-Employed,1,Low Risk,Approve
33,62705.0,17018,776.0,12,Male,Masters,San Francisco,Salaried,1,Low Risk,Approve
62,52622.0,23935,381.0,16,Male,High School,Chicago,Unemployed,0,High Risk,Reject
35,52470.0,11416,639.0,39,Male,High School,New York,Unemployed,0,Low Risk,Approve
64,44159.0,16628,740.0,3,Male,Bachelors,San Francisco,Self-Employed,1,Low Risk,Approve
41,73864.0,-5728,525.0,22,Male,High School,Chicago,Unemployed,0,High Risk,Reject
43,33455.0,24460,670.0,34,Male,High School,Houston,Salaried,0,Low Risk,Approve
42,55385.0,19293,327.0,10,Male,Masters,Chicago,Unemployed,0,High Risk,Reject
62,35183.0,20698,315.0,11,Female,Bachelors,Houston,Self-Employed,0,High Risk,Reject
